ranking,World Rank,University,Det.,Presence Rank*,Impact Rank*,Openness Rank*,Excellence Rank*
88,3048,Universidade Salvador UNIFACS,,4916,2544,3335,4095
89,3080,Universidade Federal do Tocantins UFT,,1102,4984,2618,3591
90,3084,Universidade Federal do Piauí UFPI,,1164,3532,11401,2164
91,3095,Universidade Federal do Recôncavo da Bahia UFRB,,1915,4770,3341,3522
92,3114,Universidade Federal de Ciências da Saúde de Porto Alegre UFCSPA,,5387,9746,1652,2468
93,3143,Universidade do Estado de Mato Grosso UNEMAT,,1893,5927,3013,3310
94,3145,Universidade Paranaense UNIPAR,,3962,3387,3663,3925
95,3150,Universidade Estadual de Goiás UEG,,2171,4703,3873,3556
96,3204,Instituto Federal de Educação Ciência e Tecnologia do Rio Grande do Norte IFRN,,533,2783,4203,4330
97,3236,Universidade do Vale do Paraíba UNIVAP,,4692,7491,2169,3124
98,3257,Universidade do Estado do Amazonas UEA,,5387,7438,3726,2921
99,3274,Universidade Federal Rural do Semi-Árido UFERSA,,2549,6343,2201,3556
100,3287,Universidade Guarulhos UNG,,4897,8703,1770,3004
101,3295,Universidade Cruzeiro do Sul,,7484,7427,1962,3226
102,3315,Universidade Federal de Rondônia,,2284,6113,2951,3591
103,3318,Universidade Federal do Acre UFAC,,3008,7368,3951,3098
104,3394,Faculdade de Medicina de São José do Rio Preto FAMERP,,8394,8032,1764,3275
105,3423,Universidade Tiradentes UNIT,,3589,8541,4735,2858
106,3446,Centro Universitário da Fundação Educacional Inaciana,,4753,7499,2662,3414
107,3450,Universidade de Taubaté UNITAU,,4455,4434,5600,3779
108,3485,Centro Federal de Educação Tecnológica Celso Suckow do Fonseca CEFET/RJ,,5211,6550,3849,3522
109,3489,Instituto Federal de Educação Ciência e Tecnologia do Espírito Santo,,5574,4445,4016,4029
110,3511,Universidade Metodista de São Paulo,,1631,1743,3697,5064
111,3520,Pontificia Universidade Católica do Campinas PUC-CAMPINAS,,4218,4315,2386,4330
112,3588,Universidade Positivo,,5733,6991,3398,3625
113,3592,Instituto Federal de Educação Ciência e Tecnologia de São Paulo IFSP,,1273,5691,3819,4029
114,3598,Universidade Federal de Roraima UFFR,,2272,5062,4207,4095
115,3634,Universidade Estadual do Maranhão UEMA,,2700,3104,5750,4479
116,3637,Anhanguera Educacional,,9801,5680,2682,4029
