ranking,World Rank,University,Det.,Presence Rank*,Impact Rank*,Openness Rank*,Excellence Rank*
471,2030,Richard Stockton College,,4298,1312,1738,3150
472,2035,Saint Cloud State University,,4035,822,2731,3522
473,2041,Murray State University,,4405,1463,2450,2899
474,2041,Drake University,,3575,1255,1924,3198
475,2041,University of South Florida St Petersburg,,5492,4077,4568,1481
476,2048,Morehouse School of Medicine,,4505,3647,1275,2119
477,2054,Gallaudet University,,3518,917,3036,3414
478,2059,Marist College,,1448,511,3678,3972
479,2069,Coastal Carolina University,,4233,1775,2128,2815
480,2078,Ferris State University,,3252,872,4149,3381
481,2082,A T Still University,,6210,2301,1613,2620
482,2086,CUNY Brooklyn College,,2665,6500,1026,1585
483,2097,Emerson College,,1463,1041,2551,3556
484,2101,Evergreen State College,,2443,693,1955,3972
485,2104,University of Wisconsin Stout,,3321,1202,2602,3275
486,2115,Indiana University South Bend,,7963,2588,2588,2353
487,2117,Bloomsburg University of Pennsylvania,,4081,1509,2531,3037
488,2118,Northern Michigan University,,2623,1053,2191,3556
489,2122,Depauw University,,2985,1032,3976,3310
490,2129,University of Michigan Flint,,3833,1721,2276,2966
491,2129,Washington & Lee University,,1981,673,2978,3925
492,2132,College of Wooster,,3569,1443,1965,3226
493,2133,University of Tennessee Martin,,2549,211,5561,4409
494,2137,Illinois Wesleyan University,,2968,1495,2538,3124
495,2138,Eastern Washington University,,2646,1170,3321,3275
496,2149,University of Puget Sound,,2683,1602,2599,3081
497,2154,CUNY Baruch College,,1778,6966,807,1706
498,2158,Fayetteville State University,,4717,2408,2008,2662
499,2160,Norfolk State University,,8355,1800,2654,2803
500,2168,Providence College,,4218,1847,2842,2858
501,2168,Pacific University Oregon,,3533,1216,3085,3310
502,2173,Texas Southern University,,6231,2102,1649,2879
503,2178,Minnesota State University,,2054,659,2144,4140
504,2185,University of Illinois Springfield,,2844,1352,2186,3414
505,2187,Mercer University,,3730,1369,2317,3332
506,2192,Denison University,,3930,1600,2419,3150
507,2194,Canisius College,,4340,1836,1795,3098
508,2203,Biola University,,2173,818,4546,3655
509,2203,Christopher Newport University,,4455,1953,1979,3004
510,2207,John Carroll University,,3378,1899,2246,3037
511,2209,Northeastern Illinois University,,4258,1503,2925,3150
512,2209,Pacific Lutheran University,,4233,1401,3330,3177
513,2209,Kutztown University,,4413,1599,3387,3004
514,2209,University of Bridgeport,,5715,1637,2678,3058
515,2220,Troy University,,5165,1360,3117,3226
516,2224,Barry University,,4887,1794,2684,2986
517,2226,Valdosta State University,,3537,1131,2917,3522
518,2230,Drew University,,4505,1031,3332,3556
519,2237,Rhodes College,,4209,1564,2410,3226
520,2240,California State University Bakersfield,,3850,1679,2163,3198
521,2241,University of Portland,,4717,2006,2513,2921
522,2244,University of Detroit Mercy,,4377,1461,2594,3275
523,2249,Lawrence Technological University,,7318,1771,2262,3058
524,2249,University of Scranton,,2733,1452,1734,3522
525,2253,Tuskegee University,,9257,1945,2677,2858
526,2262,Samford University,,4630,1112,2486,3625
527,2266,University of Wisconsin River Falls,,5858,2060,4080,2683
528,2270,Prairie View A&M University,,3396,2168,1980,3037
529,2274,Rhode Island College,,4864,1231,3094,3446
530,2276,Arcadia University,,4443,1634,2634,3198
531,2286,Clark Atlanta University,,8594,2639,2407,2632
532,2294,Kean University,,3865,1234,2573,3591
533,2297,Roosevelt University,,8048,1834,2242,3098
534,2297,University of Houston Clear Lake,,4193,2223,2544,2921
535,2300,Pittsburg State University,,5459,1664,2257,3253
536,2307,University of Indianapolis,,3202,1738,3502,3098
537,2307,Salisbury University,,4103,1540,2769,3310
538,2309,Xavier University of Louisiana,,6118,2369,2459,2815
539,2309,Muhlenberg College,,4455,1845,3568,2986
540,2315,University of the Sciences in Philadelphia,,8041,3350,2126,2449
541,2322,Alfred University,,5574,1642,2783,3226
542,2322,Truman State University,,761,1056,4065,3735
543,2325,Alliant International University,,5696,3030,2756,2551
544,2330,Shippensburg University of Pennsylvania,,1901,989,3152,3860
545,2331,University of Hartford,,3161,1019,2220,3925
546,2332,Indiana University System,,46,116,253,6033
547,2341,Metropolitan State University of Denver,,3505,2315,2865,2943
548,2341,Campbell University,,5098,1867,3696,3004
