ranking,World Rank,University,Det.,Presence Rank*,Impact Rank*,Openness Rank*,Excellence Rank*
1341,10220,Hunan Traditional Chinese Medical College / 湖南中医药高等专科学校,,11011,7305,11401,6033
1342,10220,Yiyang Medical College / 益阳医学高等专科学校,,10199,7357,11401,6033
1343,10220,Sichuan Tourism University / 四川旅游学院,,10562,7337,11401,6033
1344,10233,Tianjin Arts and Crafts Professional College / 天津工艺美术职业学院,,20994,6552,11401,6033
1345,10245,(1) Luoding Polytechnic / 罗定职业技术学院,,13347,7181,11401,6033
1346,10250,Jiandong College / 建东职业技术学院,,15774,7013,11401,6033
1347,10250,Tianjin City Vocational College / 天津城市职业学院,,17276,6906,11401,6033
1348,10257,Guang'an Vocational & Technical College / 广安职业技术学院,,17213,6929,11401,6033
1349,10257,Hebei Finance University / 河北金融学院,,10105,7416,11401,6033
1350,10257,Sichuan Preschool Educators College / 四川幼儿师范高等专科学校,,11859,7306,11401,6033
1351,10257,Shandong Electric Power College / 山东电力高等专科学校,,18812,6796,11401,6033
1352,10257,Songshan Shaolin Wushu College / 嵩山少林武术职业学院,,11907,7297,11401,6033
1353,10267,Chengdu Technological University / 成都工业学院,,7624,7603,11401,6033
1354,10274,Chongqing Energy College / 重庆能源职业学院,,14729,7120,11401,6033
1355,10274,Shaanxi Electronic Information Institute / 陕西电子信息职业技术学院,,16215,7014,11401,6033
1356,10274,Guangdong Literature & Art Vocational College / 广东文艺职业学院,,12681,7273,11401,6033
1357,10274,Shandong Communication & Media College / 山东传媒职业学院,,9006,7508,11401,6033
1358,10274,(1) Jiangsu Vocational College of Finance and Economics/ 江苏财经职业技术学院,,12663,7280,11401,6033
1359,10287,Wuhan Technical College of Communications / 武汉交通职业学院,,11546,7351,11401,6033
1360,10287,Shaanxi Elyctronic Technical College / 陕西电子科技职业学院,,9195,7518,11401,6033
1361,10287,Shanghai Institute of Tourism /上海旅游高等专科学校,,25410,6129,11401,6033
1362,10295,Shenyang Institute of Technology / 沈阳工学院,,14313,7182,11401,6033
1363,10295,Liuzhou Railway Vocational Technical College / 柳州铁道职业技术学院,,13274,7266,11401,6033
1364,10301,Hubei Youth Vocational College / 湖北青年职业学院,,11585,7381,11401,6033
1365,10301,Hebei Chemical & Pharmaceutical College / 河北化工医药职业技术学院,,18574,6885,11401,6033
1366,10311,Suzhou Top Institute of Information Technology / 苏州托普信息职业技术学院,,14385,7198,11401,6033
1367,10311,Tianjin Urban Construction Management & Vocational Technical College / 天津城市建设管理职业技术学院,,9366,7544,11401,6033
1368,10311,Shandong Judicial Police Vocational College / 山东司法警官职业学院,,16584,7040,11401,6033
1369,10323,Longnan Teachers College / 陇南师范高等专科学校,,8288,7626,11401,6033
1370,10323,Guangxi Polytechnic of Modern / 广西现代职业技术学院,,13810,7258,11401,6033
1371,10323,(1) Huzhou Vocational & Technical College / 湖州职业技术学院,,11082,7439,11401,6033
1372,10330,Anhui Academy of Economics & Management Anhui Administration Institute / 安徽行政学院安徽经济管理学院,,8027,7659,11401,6033
1373,10330,Tourism College of Zhejiang / 浙江旅游职业学院,,27410,5453,11401,6033
1374,10330,Henan Police College / 河南警察学院,,7624,7696,11401,6033
1375,10330,Yantai Automobile Engineering Professional College / 烟台汽车工程职业学院,,15503,7143,11401,6033
1376,10346,(3) College of Arts and Sciences Yunnan Normal University / 云南师范大学文理学院,,24309,6350,11401,6033
1377,10355,Anhui Vocactional & Technical College of Industry & Trade / 安徽工贸职业技术学院,,16215,7124,11401,6033
1378,10355,Xi'an Autotechnology Vocational College / 西安汽车科技职业学院,,18740,6936,11401,6033
1379,10355,(3) Science and Technology College of Hubei University for Nationalities / 湖北民族学院科技学院,,16584,7090,11401,6033
1380,10355,Heilongjiang Preschool Education College / 黑龙江幼儿师范高等专科学校,,12681,7374,11401,6033
1381,10373,Zaozhuang Vocational College of Science & Technology / 枣庄科技职业学院,,12843,7388,11401,6033
1382,10373,Liaoyuan Vocational Technical College / 辽源职业技术学院,,21548,6688,11401,6033
1383,10373,Lanzhou College of Foreign Studies / 兰州外语职业学院,,10076,7581,11401,6033
1384,10381,Hunan Institute of Technology / 湖南工学院,,9025,7672,11401,6033
1385,10391,Hebei University of Environmental Engineering / 河北环境工程学院,,11981,7479,11401,6033
1386,10391,Professional Arts Institute of Hubei / 湖北艺术职业学院,,25390,6266,11401,6033
1387,10397,Changsha Vocational & Technical College / 长沙职业技术学院,,16048,7200,11401,6033
