Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2017);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Categories
1166;13278;"European Journal of Housing Policy";journal;"14616718, 14733269";1,116;Q1;24;39;77;1469;123;72;1,41;37,67;United Kingdom;"Routledge";"Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q1)"
1167;17548;"Acta Neurologica Scandinavica";journal;"00016314, 16000404";1,116;Q1;84;214;406;6863;1121;378;2,85;32,07;United Kingdom;"Blackwell Publishing Inc.";"Medicine (miscellaneous) (Q1); Neurology (Q2); Neurology (clinical) (Q2)"
1168;29222;"Fatigue and Fracture of Engineering Materials and Structures";journal;"14602695, 8756758X";1,115;Q1;70;171;367;6594;873;357;2,50;38,56;United Kingdom;"Blackwell Publishing Inc.";"Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1)"
1169;25259;"Restoration Ecology";journal;"10612971, 1526100X";1,115;Q1;85;159;330;6963;848;323;2,75;43,79;United Kingdom;"Blackwell Publishing Inc.";"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Nature and Landscape Conservation (Q1)"
1170;19312;"Lichenologist";journal;"10961135, 00242829";1,113;Q1;43;56;159;2196;266;155;1,53;39,21;United Kingdom;"Cambridge University Press";"Ecology, Evolution, Behavior and Systematics (Q1)"
1171;28040;"International Journal of Geographical Information Science";journal;"13658816, 13658824";1,113;Q1;93;132;372;5359;1109;361;2,52;40,60;United Kingdom;"Taylor & Francis";"Geography, Planning and Development (Q1); Information Systems (Q1); Library and Information Sciences (Q1)"
1172;15673;"Journal of Rural Studies";journal;"07430167";1,113;Q1;82;204;372;13721;1142;359;2,82;67,26;United Kingdom;"Elsevier Ltd.";"Development (Q1); Forestry (Q1); Geography, Planning and Development (Q1); Sociology and Political Science (Q1)"
1173;21349;"Expert Opinion on Drug Safety";journal;"14740338";1,112;Q1;60;145;521;9936;1618;492;3,27;68,52;United Kingdom;"Taylor & Francis";"Medicine (miscellaneous) (Q1); Pharmacology (medical) (Q1)"
1174;15951;"Journal of Medical Economics";journal;"13696998";1,112;Q1;33;157;350;5639;727;330;2,13;35,92;United Kingdom;"Taylor & Francis";"Health Policy (Q1)"
1175;19700174974;"Future Medicinal Chemistry";journal;"17568927, 17568919";1,111;Q1;49;160;534;10039;1496;440;3,35;62,74;United Kingdom;"Future Medicine Ltd.";"Drug Discovery (Q1); Molecular Medicine (Q2); Pharmacology (Q2)"
1176;18900;"Journal of Transport Economics and Policy";journal;"00225258";1,111;Q1;46;16;63;487;82;63;1,38;30,44;United Kingdom;"University of Bath";"Economics and Econometrics (Q1); Management, Monitoring, Policy and Law (Q1); Transportation (Q1)"
1177;28988;"Journal of Economics and Management Strategy";journal;"10586407, 15309134";1,110;Q1;58;45;121;1688;161;121;1,28;37,51;United Kingdom;"Blackwell Publishing Inc.";"Business, Management and Accounting (miscellaneous) (Q1); Economics and Econometrics (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
1178;16956;"Cities";journal;"02642751";1,110;Q1;62;241;402;11404;1395;379;3,05;47,32;United Kingdom;"Elsevier Ltd.";"Development (Q1); Sociology and Political Science (Q1); Tourism, Leisure and Hospitality Management (Q1); Urban Studies (Q1)"
1179;21337;"Health Research Policy and Systems";journal;"14784505";1,110;Q1;36;110;238;5169;555;213;2,25;46,99;United Kingdom;"BioMed Central";"Health Policy (Q1); Medicine (miscellaneous) (Q1)"
1180;21729;"BMC Medical Genetics";journal;"14712350";1,109;Q2;60;151;355;4860;813;352;1,98;32,19;United Kingdom;"BioMed Central";"Genetics (Q2); Genetics (clinical) (Q2)"
1181;27851;"Marine Policy";journal;"0308597X";1,109;Q1;73;373;955;18209;2349;928;2,34;48,82;United Kingdom;"Elsevier Ltd.";"Aquatic Science (Q1); Economics and Econometrics (Q1); Environmental Science (miscellaneous) (Q1); Law (Q1); Management, Monitoring, Policy and Law (Q1)"
1182;19225;"Journal of Phycology";journal;"00223646, 15298817";1,109;Q1;111;112;294;6542;837;268;3,08;58,41;United Kingdom;"Blackwell Publishing Inc.";"Aquatic Science (Q1); Plant Science (Q1)"
1183;6700153291;"BMC Systems Biology";journal;"17520509";1,109;Q1;67;143;450;7761;1040;446;2,13;54,27;United Kingdom;"BioMed Central";"Applied Mathematics (Q1); Computer Science Applications (Q1); Modeling and Simulation (Q1); Molecular Biology (Q2); Structural Biology (Q2)"
